Kanal;   Energie(keV); Impulse
     576;   576.0000;          174   
     577;   577.0000;          184   
     578;   578.0000;          154   
     579;   579.0000;          145   
     580;   580.0000;          158   
     581;   581.0000;          172   
     582;   582.0000;          143   
     583;   583.0000;          122   
     584;   584.0000;          134   
     585;   585.0000;          144   
     586;   586.0000;          111   
     587;   587.0000;          118   
     588;   588.0000;          114   
     589;   589.0000;          114   
     590;   590.0000;          113   
     591;   591.0000;           91   
     592;   592.0000;           95   
     593;   593.0000;           98   
     594;   594.0000;           98   
     595;   595.0000;           71   
     596;   596.0000;           83   
     597;   597.0000;           71   
     598;   598.0000;           74   
     599;   599.0000;           56   
     600;   600.0000;           53   
     601;   601.0000;           50   
     602;   602.0000;           49   
     603;   603.0000;           47   
     604;   604.0000;           39   
     605;   605.0000;           33   
     606;   606.0000;           29   
     607;   607.0000;           24   
     608;   608.0000;           24   
     609;   609.0000;           33   
     610;   610.0000;           12   
     611;   611.0000;           22   
     612;   612.0000;           16   
     613;   613.0000;           15   
     614;   614.0000;           11   
     615;   615.0000;            8   
     616;   616.0000;            7   
     617;   617.0000;           11   
     618;   618.0000;           11   
     619;   619.0000;            8   
     620;   620.0000;           10   
     621;   621.0000;            8   
     622;   622.0000;            6   
     623;   623.0000;            5   
     624;   624.0000;            3   
     625;   625.0000;            3   
     626;   626.0000;            5   
     627;   627.0000;            7   
     628;   628.0000;            1   
     629;   629.0000;            1   
     630;   630.0000;            2   
     631;   631.0000;            3   
     632;   632.0000;            3   
     633;   633.0000;            3   
     634;   634.0000;            0   
     635;   635.0000;            2   
     636;   636.0000;            0   
     637;   637.0000;            0   
     638;   638.0000;            1   
     639;   639.0000;            1   
     640;   640.0000;            0   
     641;   641.0000;            0   
     642;   642.0000;            2   
     643;   643.0000;            0   
     644;   644.0000;            2   
     645;   645.0000;            1   
     646;   646.0000;            2   
     647;   647.0000;            0   
     648;   648.0000;            0   
     649;   649.0000;            0   
     650;   650.0000;            0   
     651;   651.0000;            0   
     652;   652.0000;            0   
     653;   653.0000;            0   
     654;   654.0000;            0   
     655;   655.0000;            0   
     656;   656.0000;            0   
     657;   657.0000;            0   
     658;   658.0000;            1   
     659;   659.0000;            0   
     660;   660.0000;            0   
     661;   661.0000;            0   
     662;   662.0000;            0   
     663;   663.0000;            1   
     664;   664.0000;            0   
     665;   665.0000;            0   
     666;   666.0000;            0   
     667;   667.0000;            0   
     668;   668.0000;            0   
     669;   669.0000;            0   
     670;   670.0000;            0   
     671;   671.0000;            0   
     672;   672.0000;            1   
     673;   673.0000;            0   
     674;   674.0000;            0   
     675;   675.0000;            0   
     676;   676.0000;            0   
     677;   677.0000;            0   
     678;   678.0000;            0   
     679;   679.0000;            0   
     680;   680.0000;            0   
     681;   681.0000;            0   
     682;   682.0000;            0   
     683;   683.0000;            0   
     684;   684.0000;            0   
     685;   685.0000;            0   
     686;   686.0000;            0   
     687;   687.0000;            0   
     688;   688.0000;            0   
     689;   689.0000;            0   
     690;   690.0000;            0   
     691;   691.0000;            0   
     692;   692.0000;            0   
     693;   693.0000;            0   
     694;   694.0000;            0   
     695;   695.0000;            0   
     696;   696.0000;            0   
     697;   697.0000;            0   
     698;   698.0000;            0   
     699;   699.0000;            0   
     700;   700.0000;            0   
     701;   701.0000;            0   
     702;   702.0000;            0   
     703;   703.0000;            0   
     704;   704.0000;            0   
     705;   705.0000;            0   
     706;   706.0000;            0   
     707;   707.0000;            0   
     708;   708.0000;            0   
     709;   709.0000;            0   
     710;   710.0000;            0   
     711;   711.0000;            0   
     712;   712.0000;            0   
     713;   713.0000;            0   
     714;   714.0000;            0   
     715;   715.0000;            0   
     716;   716.0000;            0   
     717;   717.0000;            0   
     718;   718.0000;            0   
     719;   719.0000;            0   
     720;   720.0000;            0   
     721;   721.0000;            0   
     722;   722.0000;            0   
     723;   723.0000;            0   
     724;   724.0000;            0   
     725;   725.0000;            0   
     726;   726.0000;            0   
     727;   727.0000;            0   
     728;   728.0000;            0   
     729;   729.0000;            0   
     730;   730.0000;            0   
     731;   731.0000;            0   
     732;   732.0000;            0   
     733;   733.0000;            0   
     734;   734.0000;            0   
     735;   735.0000;            0   
     736;   736.0000;            0   
     737;   737.0000;            0   
     738;   738.0000;            0   
     739;   739.0000;            0   
     740;   740.0000;            0   
     741;   741.0000;            0   
     742;   742.0000;            0   
     743;   743.0000;            0   
     744;   744.0000;            0   
     745;   745.0000;            0   
     746;   746.0000;            0   
     747;   747.0000;            0   
     748;   748.0000;            0   
     749;   749.0000;            0   
     750;   750.0000;            0   
     751;   751.0000;            0   
     752;   752.0000;            0   
     753;   753.0000;            0   
     754;   754.0000;            0   
     755;   755.0000;            0   
     756;   756.0000;            0   
     757;   757.0000;            0   
     758;   758.0000;            0   
     759;   759.0000;            0   
     760;   760.0000;            0   
     761;   761.0000;            0   
     762;   762.0000;            0   
     763;   763.0000;            0   
     764;   764.0000;            0   
     765;   765.0000;            0   
     766;   766.0000;            0   
     767;   767.0000;            0   
     768;   768.0000;            0   
     769;   769.0000;            0   
     770;   770.0000;            0   
     771;   771.0000;            0   
     772;   772.0000;            0   
     773;   773.0000;            0   
     774;   774.0000;            0   
     775;   775.0000;            0   
     776;   776.0000;            0   
     777;   777.0000;            0   
     778;   778.0000;            0   
     779;   779.0000;            1   
     780;   780.0000;            0   
     781;   781.0000;            0   
     782;   782.0000;            0   
     783;   783.0000;            0   
     784;   784.0000;            0   
     785;   785.0000;            0   
     786;   786.0000;            0   
     787;   787.0000;            0   
     788;   788.0000;            0   
     789;   789.0000;            0   
     790;   790.0000;            0   
     791;   791.0000;            0   
     792;   792.0000;            0   
     793;   793.0000;            0   
     794;   794.0000;            0   
     795;   795.0000;            0   
     796;   796.0000;            0   
     797;   797.0000;            0   
     798;   798.0000;            0   
     799;   799.0000;            0   
     800;   800.0000;            0   
     801;   801.0000;            0   
     802;   802.0000;            0   
     803;   803.0000;            0   
     804;   804.0000;            0   
     805;   805.0000;            0   
     806;   806.0000;            0   
     807;   807.0000;            0   
     808;   808.0000;            0   
     809;   809.0000;            1   
     810;   810.0000;            0   
     811;   811.0000;            0   
     812;   812.0000;            0   
     813;   813.0000;            0   
     814;   814.0000;            0   
     815;   815.0000;            0   
     816;   816.0000;            0   
     817;   817.0000;            0   
     818;   818.0000;            0   
     819;   819.0000;            0   
     820;   820.0000;            0   
     821;   821.0000;            0   
     822;   822.0000;            0   
     823;   823.0000;            0   
     824;   824.0000;            0   
     825;   825.0000;            0   
     826;   826.0000;            0   
     827;   827.0000;            0   
     828;   828.0000;            0   
     829;   829.0000;            0   
     830;   830.0000;            0   
     831;   831.0000;            0   
     832;   832.0000;            0   
     833;   833.0000;            0   
     834;   834.0000;            0   
     835;   835.0000;            0   
     836;   836.0000;            0   
     837;   837.0000;            0   
     838;   838.0000;            0   
     839;   839.0000;            0   
     840;   840.0000;            0   
     841;   841.0000;            0   
     842;   842.0000;            0   
     843;   843.0000;            0   
     844;   844.0000;            0   
     845;   845.0000;            0   
     846;   846.0000;            0   
     847;   847.0000;            0   
     848;   848.0000;            0   
     849;   849.0000;            0   
     850;   850.0000;            0   
     851;   851.0000;            0   
     852;   852.0000;            1   
     853;   853.0000;            0   
     854;   854.0000;            0   
     855;   855.0000;            0   
     856;   856.0000;            0   
     857;   857.0000;            0   
     858;   858.0000;            0   
     859;   859.0000;            0   
     860;   860.0000;            0   
     861;   861.0000;            0   
     862;   862.0000;            0   
     863;   863.0000;            0   
     864;   864.0000;            0   
     865;   865.0000;            0   
     866;   866.0000;            0   
     867;   867.0000;            0   
     868;   868.0000;            0   
     869;   869.0000;            0   
     870;   870.0000;            0   
     871;   871.0000;            0   
     872;   872.0000;            0   
     873;   873.0000;            0   
     874;   874.0000;            0   
     875;   875.0000;            0   
     876;   876.0000;            0   
     877;   877.0000;            0   
     878;   878.0000;            0   
     879;   879.0000;            1   
     880;   880.0000;            0   
     881;   881.0000;            0   
     882;   882.0000;            0   
     883;   883.0000;            0   
     884;   884.0000;            0   
     885;   885.0000;            0   
     886;   886.0000;            0   
     887;   887.0000;            0   
     888;   888.0000;            0   
     889;   889.0000;            0   
     890;   890.0000;            0   
     891;   891.0000;            0   
     892;   892.0000;            0   
     893;   893.0000;            0   
     894;   894.0000;            0   
     895;   895.0000;            0   
     896;   896.0000;            0   
     897;   897.0000;            0   
     898;   898.0000;            0   
     899;   899.0000;            0   
     900;   900.0000;            0   
     901;   901.0000;            0   
     902;   902.0000;            0   
     903;   903.0000;            0   
     904;   904.0000;            0   
     905;   905.0000;            0   
     906;   906.0000;            0   
     907;   907.0000;            0   
     908;   908.0000;            0   
     909;   909.0000;            0   
     910;   910.0000;            0   
     911;   911.0000;            0   
     912;   912.0000;            0   
     913;   913.0000;            0   
     914;   914.0000;            0   
     915;   915.0000;            0   
     916;   916.0000;            0   
     917;   917.0000;            0   
     918;   918.0000;            0   
     919;   919.0000;            0   
     920;   920.0000;            0   
     921;   921.0000;            0   
     922;   922.0000;            0   
     923;   923.0000;            0   
     924;   924.0000;            0   
     925;   925.0000;            0   
     926;   926.0000;            0   
     927;   927.0000;            0   
     928;   928.0000;            0   
     929;   929.0000;            0   
     930;   930.0000;            0   
     931;   931.0000;            0   
     932;   932.0000;            0   
     933;   933.0000;            0   
     934;   934.0000;            0   
     935;   935.0000;            0   
     936;   936.0000;            0   
     937;   937.0000;            0   
     938;   938.0000;            0   
     939;   939.0000;            0   
     940;   940.0000;            0   
     941;   941.0000;            0   
     942;   942.0000;            0   
     943;   943.0000;            0   
     944;   944.0000;            0   
     945;   945.0000;            0   
     946;   946.0000;            0   
     947;   947.0000;            0   
     948;   948.0000;            0   
     949;   949.0000;            0   
     950;   950.0000;            0   
     951;   951.0000;            0   
     952;   952.0000;            0   
     953;   953.0000;            0   
     954;   954.0000;            0   
     955;   955.0000;            0   
     956;   956.0000;            0   
     957;   957.0000;            0   
     958;   958.0000;            0   
     959;   959.0000;            0   
     960;   960.0000;            0   
     961;   961.0000;            0   
     962;   962.0000;            0   
     963;   963.0000;            0   
     964;   964.0000;            0   
     965;   965.0000;            0   
     966;   966.0000;            0   
     967;   967.0000;            0   
     968;   968.0000;            0   
     969;   969.0000;            0   
     970;   970.0000;            0   
     971;   971.0000;            0   
     972;   972.0000;            0   
     973;   973.0000;            0   
     974;   974.0000;            0   
     975;   975.0000;            0   
     976;   976.0000;            0   
     977;   977.0000;            0   
     978;   978.0000;            0   
     979;   979.0000;            0   
     980;   980.0000;            0   
     981;   981.0000;            0   
     982;   982.0000;            0   
     983;   983.0000;            0   
     984;   984.0000;            0   
     985;   985.0000;            0   
     986;   986.0000;            0   
     987;   987.0000;            0   
     988;   988.0000;            0   
     989;   989.0000;            0   
     990;   990.0000;            0   
     991;   991.0000;            0   
     992;   992.0000;            0   
     993;   993.0000;            0   
     994;   994.0000;            0   
     995;   995.0000;            0   
     996;   996.0000;            0   
     997;   997.0000;            0   
     998;   998.0000;            0   
     999;   999.0000;            0   
    1000;  1000.0000;            0   
    1001;  1001.0000;            0   
    1002;  1002.0000;            0   
    1003;  1003.0000;            0   
    1004;  1004.0000;            0   
    1005;  1005.0000;            0   
    1006;  1006.0000;            0   
    1007;  1007.0000;            0   
    1008;  1008.0000;            0   
    1009;  1009.0000;            0   
    1010;  1010.0000;            0   
    1011;  1011.0000;            0   
    1012;  1012.0000;            0   
    1013;  1013.0000;            0   
    1014;  1014.0000;            0   
    1015;  1015.0000;            0   
    1016;  1016.0000;            0   
    1017;  1017.0000;            0   
    1018;  1018.0000;            0   
    1019;  1019.0000;            0   
    1020;  1020.0000;            0   
    1021;  1021.0000;            0   
    1022;  1022.0000;            0   
    1023;  1023.0000;            0   
    1024;  1024.0000;            0   
    1025;  1025.0000;            0   
    1026;  1026.0000;            0   
    1027;  1027.0000;            0   
    1028;  1028.0000;            0   
    1029;  1029.0000;            0   
    1030;  1030.0000;            0   
    1031;  1031.0000;            0   
    1032;  1032.0000;            0   
    1033;  1033.0000;            0   
    1034;  1034.0000;            0   
    1035;  1035.0000;            0   
    1036;  1036.0000;            0   
    1037;  1037.0000;            0   
    1038;  1038.0000;            0   
    1039;  1039.0000;            0   
    1040;  1040.0000;            1   
    1041;  1041.0000;            0   
    1042;  1042.0000;            0   
    1043;  1043.0000;            0   
    1044;  1044.0000;            0   
    1045;  1045.0000;            0   
    1046;  1046.0000;            0   
    1047;  1047.0000;            0   
    1048;  1048.0000;            0   
    1049;  1049.0000;            0   
    1050;  1050.0000;            0   
    1051;  1051.0000;            0   
    1052;  1052.0000;            0   
    1053;  1053.0000;            0   
    1054;  1054.0000;            0   
    1055;  1055.0000;            0   
    1056;  1056.0000;            0   
    1057;  1057.0000;            0   
    1058;  1058.0000;            0   
    1059;  1059.0000;            0   
    1060;  1060.0000;            0   
    1061;  1061.0000;            0   
    1062;  1062.0000;            0   
